Rocks Off,42o3gy9e8dzBHvQE991ad8,271.933,54,4,1,4,0.0639,0.485,0.943,0.179,0.144,-4.423,0.0416,0.889,141.982
Rip This Joint,0SojSZcka4j8l8Sl0W9jUZ,143.293,45,2,1,4,0.118,0.548,0.952,0.837,0.301,-2.958,0.0422,0.906,98.04
Shake Your Hips,3u28KPrRmJiNC39Fm3tZVe,179.0,43,2,1,4,0.69,0.374,0.787,0.831,0.203,-7.054,0.0617,0.763,180.496
Casino Boogie,3NDEunNz7GMb6SkkPYTvd2,214.466,42,2,1,4,0.374,0.53,0.691,0.111,0.29,-5.409,0.0307,0.581,117.046
Tumbling Dice,4hq0S6wznq7SHDyMOFXL9i,226.333,60,11,1,4,0.5,0.615,0.91,0.511,0.281,-4.248,0.0347,0.77,111.013
Sweet Virginia,1hJrWWK74fKL7eeV3CFOvF,266.56,59,9,1,4,0.502,0.477,0.74,1.31e-06,0.263,-5.397,0.0446,0.56,107.384
Torn And Frayed,5SiCTf5r1cVjQXAXB2StpS,257.24,43,2,1,4,0.664,0.454,0.766,0.904,0.594,-3.862,0.0272,0.776,90.677
Sweet Black Angel,60OdLDvZpHe4kVDYwNtYh9,177.666,42,7,1,4,0.65,0.498,0.728,0.000172,0.114,-7.387,0.0373,0.609,174.33
Loving Cup,05BcisbhFsmVpTZ0kGD7gK,264.266,43,7,1,4,0.636,0.471,0.843,0.0402,0.773,-5.702,0.041,0.632,156.695
Happy,0rucXTNGt4BHpAjNR5d0UF,184.626,43,4,1,4,0.361,0.555,0.897,0.94,0.536,-3.469,0.0293,0.965,131.712
Turd On The Run,7wSVa5dSpjM62zrF0WsMVQ,157.173,40,2,1,4,0.65,0.517,0.781,0.977,0.341,-6.33,0.0405,0.742,119.364
Ventilator Blues,74mpiRPDd2rFeBR1Yl60I3,204.573,44,0,1,4,0.6,0.618,0.678,0.723,0.501,-5.199,0.0316,0.79,133.453
I Just Want To See His Face,22OTrlQy1sXdtdo1VgDUZb,172.626,39,0,1,4,0.689,0.654,0.542,0.584,0.204,-14.696,0.0419,0.877,78.015
Let It Loose,2u63axjx9VKmFfQNqmpi8a,317.173,44,5,1,4,0.869,0.352,0.656,0.8,0.221,-5.721,0.0289,0.363,76.121
All Down The Line,5GHKbjIY0gTCqoY5aruDDc,229.493,42,7,1,4,0.39,0.519,0.973,0.978,0.784,-3.044,0.0562,0.822,140.221
Stop Breaking Down,09eg3FGzsZQbZk8qEXhJIA,274.773,40,9,1,4,0.509,0.522,0.891,0.908,0.111,-4.085,0.0322,0.91,104.411
Shine A Light,1iii3DosaivkmvUDmhZhCP,256.826,56,0,1,4,0.522,0.365,0.839,0.000469,0.292,-5.148,0.0691,0.575,81.772
Soul Survivor,7faybsF8gIVvWtAp9hUcI2,228.84,39,5,1,4,0.183,0.337,0.919,0.186,0.286,-3.94,0.0431,0.525,114.748
