John Wesley Harding,0wfBooQ6QtDm63UIyIcDIj,177.2,35,5,1,4,0.206,0.579,0.479,0.00211,0.163,-10.348,0.0294,0.937,135.459
As I Went out One Morning,2040FzW1ywVMnNJAMPoXZn,169.4,35,4,1,4,0.124,0.67,0.352,9.22e-05,0.0649,-13.892,0.0368,0.87,131.138
I Dreamed I Saw St. Augustine,1cbLvt7UrsbVnljXttWUip,232.666,35,5,1,4,0.626,0.411,0.282,2.07e-06,0.0939,-12.909,0.0462,0.554,176.191
All Along the Watchtower,0Fnb2pfBfu0ka33d6Yki17,151.093,56,1,0,4,0.475,0.581,0.41,2.04e-05,0.0746,-12.617,0.0303,0.697,129.175
The Ballad of Frankie Lee and Judas Priest,1XXHPSNbmHgi8EJvO3yGyd,332.64,35,0,1,4,0.811,0.481,0.372,0.0,0.0908,-14.03,0.0576,0.335,150.764
Drifter's Escape,41ev75JtScZeRGHQ19O6BG,166.066,32,9,1,4,0.493,0.637,0.535,3.17e-05,0.262,-12.668,0.0342,0.842,132.458
Dear Landlord,4xhHhecO7i0jEySdGKQMWp,194.733,32,2,0,3,0.617,0.429,0.225,6.03e-06,0.112,-15.342,0.0396,0.457,238.895
I Am a Lonesome Hobo,49pZlXa9pZ6N0j6O4xduoC,201.0,31,7,1,4,0.107,0.617,0.283,0.000209,0.15,-13.367,0.0331,0.469,119.204
I Pity the Poor Immigrant,2eyszNMdxZtteBRCN1uL4j,253.4,31,5,1,3,0.44,0.494,0.167,0.000204,0.123,-15.389,0.0331,0.366,128.684
The Wicked Messenger,0ZVzXE6cLLNshh4oMDoySI,122.2,30,2,1,4,0.432,0.436,0.419,0.0,0.0759,-10.272,0.0297,0.831,170.034
Down Along the Cove,0aVlO5bvmxjz6ep7rUs9y2,141.24,30,11,1,4,0.649,0.656,0.486,0.000452,0.128,-12.536,0.0452,0.886,90.881
I'll Be Your Baby Tonight,032kwZ9kg4yIaIPBOOIwlm,159.36,46,0,1,4,0.454,0.512,0.23,0.000139,0.0508,-16.412,0.0301,0.457,127.567
