London Calling - Remastered,5jzma6gCzYtKB1DbEwFZKH,200.48,73,0,1,4,0.123,0.651,0.801,0.0,0.0825,-7.34,0.0513,0.776,133.763
Brand New Cadillac - Remastered,7FYkZkF9fog6WS818wJnhl,128.266,48,9,1,4,0.0196,0.52,0.906,7.96e-05,0.0925,-6.534,0.0601,0.868,151.606
Jimmy Jazz - Remastered,06JxwPA4WAg0LWADJtaldL,234.333,46,9,1,4,0.00554,0.528,0.397,3.64e-06,0.43,-12.024,0.0927,0.579,128.414
Hateful - Remastered,2FNsNZjUQg3bhx5dWW0pRs,163.933,46,7,1,4,0.0119,0.595,0.86,0.0,0.482,-6.723,0.0524,0.673,114.112
Rudie Can't Fail - Remastered,4W9zZsQKsqikYbKM9vcN5Q,208.866,50,6,0,4,0.00312,0.636,0.684,0.0,0.0402,-9.37,0.0594,0.684,96.988
Spanish Bombs - Remastered,6wtmql7FJ7SSLuSw8JD8rX,198.866,52,11,0,4,0.0459,0.609,0.798,0.0,0.21,-7.902,0.0345,0.77,149.047
The Right Profile - Remastered,33GXePBlErinst4NjAvWuc,234.6,41,11,1,4,0.0605,0.555,0.806,0.0,0.183,-7.534,0.075,0.818,140.679
Lost in the Supermarket - Remastered,72boGlgSwUK01n44O2tOCv,226.946,58,4,1,4,0.0568,0.608,0.634,0.00568,0.116,-11.24,0.0725,0.841,147.514
Clampdown - Remastered,66MwdlxiFMZ8TJGLEJnS7x,229.213,47,2,1,4,0.06,0.676,0.723,8.72e-05,0.317,-7.61,0.0934,0.889,145.334
The Guns of Brixton - Remastered,0jnFDxgNhS156vu6roUVco,192.44,58,7,1,4,0.00501,0.739,0.613,0.124,0.095,-9.487,0.0856,0.677,96.493
Wrong 'Em Boyo - Remastered,1bzfgbLPF3XTyDhmvoQ6uH,191.493,41,0,1,4,0.0129,0.495,0.735,0.0,0.726,-8.077,0.033,0.885,148.191
Death or Glory - Remastered,3lUVy400HL94NB03paDTyN,235.0,50,0,1,4,0.0572,0.677,0.842,0.0,0.15,-7.28,0.0415,0.767,137.589
Koka Kola - Remastered,1YvbtzUkXtgotCTo6QeqkW,107.813,40,7,1,4,0.0728,0.495,0.73,0.0,0.379,-8.009,0.107,0.918,162.321
The Card Cheat - Remastered,2zAwL5UwmqIh3JoKVkFvd8,229.493,40,0,1,4,0.22,0.485,0.759,6.44e-05,0.0562,-7.743,0.0489,0.508,143.409
Lover's Rock - Remastered,4A8jvQQ5EnKlTJIirMhgfA,243.066,40,7,1,4,0.0291,0.555,0.697,4.82e-06,0.0785,-8.615,0.0411,0.902,127.302
Four Horsemen - Remastered,2X89n7LOYnkKzfIlvi8sRp,175.773,38,11,1,4,0.0585,0.467,0.917,0.0,0.467,-6.813,0.0835,0.813,141.069
I'm Not Down - Remastered,1eijsmCG81EUB5YGGAz6Yv,186.026,41,6,0,4,0.00751,0.498,0.851,2.17e-05,0.228,-7.251,0.07,0.847,137.633
Revolution Rock - Remastered,4HNkcbObzBZnIlxB49GgrC,333.293,44,8,0,4,0.00306,0.638,0.702,5.68e-06,0.124,-10.341,0.159,0.863,158.441
Train in Vain (Stand by Me) - Remastered,6ITuEsxEy2qPhqMowdDAeI,194.666,65,2,1,4,0.0922,0.761,0.722,0.000366,0.132,-8.712,0.0428,0.966,122.764
