Juízo Final,3ePoh7vNGKOTuzjMNOB7I7,189.493,47,7,1,4,0.397,0.729,0.768,0.000925,0.116,-9.83,0.0557,0.849,157.884
Folhas Secas,2gwMiMAQO5httSgTrTfePY,137.56,28,2,1,4,0.189,0.744,0.615,1.61e-06,0.114,-12.28,0.0581,0.953,87.599
Caminhando,5kKVam8Fmyctt5t7bt5XWJ,131.266,20,2,0,4,0.0128,0.761,0.523,0.936,0.103,-10.936,0.0822,0.964,91.635
Minha Festa,3WxzMN4tMdyPotUYolFRa3,143.12,23,11,0,4,0.603,0.527,0.539,0.000785,0.388,-9.576,0.0581,0.928,84.551
Mulher Sem Alma,5JXF956Zpzov0ZLcnIDM0l,170.946,19,9,0,4,0.476,0.764,0.475,0.0899,0.0724,-10.517,0.0606,0.936,154.443
Vou Partir,1c8VPiBfqUMFwwnlx9q9gv,179.12,23,2,1,4,0.473,0.569,0.659,0.0014,0.15,-10.354,0.0422,0.964,176.341
Rei Vadio,1Os8H940FTe7IJ89OYIq8P,143.813,17,0,1,4,0.627,0.628,0.559,4.55e-06,0.179,-10.171,0.0407,0.962,91.498
É Tão Triste Cair,6vVrQ4qJ9AbfmAOie4iJrA,102.306,18,4,0,4,0.379,0.711,0.486,0.000111,0.0896,-11.797,0.139,0.784,165.828
Pode Sorrir,09YI0wg9Qiqq8FsMGg5YtM,127.213,18,4,1,4,0.875,0.688,0.348,5.65e-06,0.12,-11.121,0.127,0.714,72.58
Rugas,18nErcLai9AF34Dc5GD5zx,103.36,19,9,1,4,0.773,0.645,0.261,5.8e-06,0.118,-15.21,0.0878,0.741,94.868
O Bem E O Mal,4Y6PfingcqbjXvCbIzSxCO,121.466,18,11,0,4,0.715,0.824,0.549,0.0,0.109,-10.613,0.17,0.887,105.941
Visita Triste,6x57VdsWiMSGzo3kJ1NOmt,121.8,17,4,1,4,0.664,0.651,0.536,1.32e-05,0.194,-10.413,0.0985,0.885,155.738
