Strange Days,4WFVX3E568hdAixIj3U222,186.56,54,9,0,4,0.199,0.411,0.763,0.00447,0.329,-6.738,0.0541,0.462,121.57
You're Lost Little Girl,5onlaW8X1ps8VS4DhxpFom,180.573,52,4,0,4,0.63,0.509,0.386,6.18e-05,0.125,-10.401,0.0269,0.389,111.7
Love Me Two Times,67HxeUADW4H3ERfaPW59ma,195.106,63,9,1,4,0.332,0.684,0.698,5.16e-06,0.122,-6.219,0.041,0.839,132.846
Unhappy Girl,7MW3s6XnZua7CNQAfmdGe8,117.066,43,5,0,4,0.609,0.487,0.55,0.0,0.0992,-7.1,0.038,0.634,127.107
Horse Latitudes,6vcqR6rCL2k4EDhqH8gzeO,95.226,39,2,0,4,0.657,0.208,0.954,2.01e-05,0.685,-10.833,0.334,0.0404,44.323
Moonlight Drive,0ja1dJM5gBTjk5U9wsMP9r,181.346,51,2,1,4,0.605,0.611,0.734,0.0,0.0892,-6.686,0.0334,0.82,113.266
People Are Strange,1Jmqubf9kGkWeYQXQKImL5,130.173,71,4,0,4,0.685,0.699,0.467,0.0,0.315,-8.578,0.0375,0.764,119.287
My Eyes Have Seen You,6HSQ5z5afdLjhphHWfPiEG,147.2,49,4,0,4,0.284,0.417,0.83,0.0,0.0863,-7.206,0.0532,0.943,131.715
I Can't See Your Face in My Mind,6wov6IWJkisFG6rUZIESsB,203.293,42,9,0,4,0.638,0.561,0.315,1.8e-05,0.493,-12.21,0.0472,0.432,97.173
When the Music's Over,42dsUTJpzMWUJfEkzsbKWl,659.266,57,9,1,4,0.172,0.532,0.459,6.61e-05,0.0472,-10.329,0.0307,0.597,98.196
