Astronomy Domine,3Y8gNcoJu1uJ5L1BZuGvqB,251.278,50,2,1,4,0.378,0.348,0.634,0.474,0.346,-11.527,0.048,0.0803,124.079
Lucifer Sam,0lT4imdjSzpCtooUccYAKj,187.4,44,7,1,4,0.504,0.349,0.744,0.000157,0.255,-11.551,0.0384,0.549,140.778
Matilda Mother,6SlI8JYwFaESqre47wrQZz,188.493,41,4,1,4,0.541,0.251,0.41,0.000425,0.162,-10.62,0.0349,0.282,119.967
Flaming,4r74qNo5usVTNhBZwo1Hg6,166.04,39,9,1,3,0.318,0.401,0.533,4.36e-05,0.123,-10.347,0.0339,0.334,130.538
Pow R. Toc H.,0X0SM0KFf88MFvvnJNmi6D,266.306,38,2,0,4,0.632,0.409,0.404,0.862,0.375,-14.283,0.042,0.554,121.509
Take Up Thy Stethoscope and Walk,6q3URBXG6Tr9pMU0bOlvrc,186.053,38,9,1,4,0.0442,0.331,0.775,0.061,0.0699,-10.71,0.117,0.661,151.201
Interstellar Overdrive,3xyTufSSGLP3oZnomceAVW,580.715,50,2,1,4,0.767,0.23,0.704,0.87,0.112,-10.975,0.0569,0.309,94.371
The Gnome,1GqRmuG89ILDLcuAdcli6r,133.91,39,2,1,4,0.655,0.534,0.353,0.0,0.0975,-12.261,0.03,0.371,115.978
Chapter 24,0j9iv7tRpEpTGSGpkCMJve,222.426,36,2,1,4,0.704,0.236,0.376,0.000838,0.0606,-10.897,0.0341,0.342,125.903
The Scarecrow,1aV8FeJiQpZXFY35rLNNu0,131.266,37,2,1,3,0.385,0.559,0.339,0.782,0.0261,-13.581,0.062,0.921,155.15
Bike,4gJrRkskBk1oyooA4qm67a,201.024,40,7,1,4,0.833,0.418,0.785,1.09e-05,0.764,-10.587,0.185,0.233,114.52
