I Am Trying to Break Your Heart,3HWxpLKnTlz6jE3Vi5dTF2,418.2,51,4,1,4,0.317,0.467,0.536,0.0119,0.123,-10.906,0.0268,0.429,85.958
Kamera,7xSUGewoItgxStLNXnoWkl,210.093,47,2,1,4,0.298,0.888,0.707,0.758,0.0649,-10.886,0.034,0.97,116.671
Radio Cure,5y4MDqm1PYa2T1vT6vboJI,308.533,43,9,1,4,0.532,0.481,0.201,0.0126,0.111,-15.272,0.0344,0.159,79.072
War on War,0ZQ0AYmoSQqmPYtI9JP9F9,227.666,45,9,1,4,0.0323,0.65,0.833,0.00386,0.233,-8.446,0.0297,0.677,131.184
"Jesus, Etc.",4wd09wCccmxUB7XVJp0RNn,231.0,66,5,1,4,0.616,0.756,0.28,0.00033,0.414,-14.27,0.0296,0.695,109.413
Ashes of American Flags,1BI3TOb107VToPovrraoU2,284.026,42,2,1,4,0.879,0.344,0.351,0.221,0.0791,-12.206,0.0342,0.206,67.017
Heavy Metal Drummer,4xmeLj3uVcoAwgDtwM4MbG,188.84,55,7,1,4,0.0257,0.661,0.66,0.00977,0.256,-9.061,0.0373,0.814,120.617
I'm the Man Who Loves You,70gsdxSzE5lCKCCYj2F1Yr,235.76,45,5,1,4,0.0458,0.587,0.74,0.0335,0.305,-7.554,0.0396,0.89,94.014
Pot Kettle Black,7fRAo80qMQjm6sr21gQTXp,240.706,42,2,1,4,0.052,0.729,0.626,0.241,0.665,-9.946,0.0299,0.666,123.242
Poor Places,4cGVaSWrKvMYuVTz5NRYYJ,315.466,40,10,1,4,0.766,0.28,0.416,0.031,0.602,-10.946,0.0382,0.287,181.037
Reservations,1TRsfoxOCzeSJXHtY8KiQC,443.093,39,5,1,3,0.884,0.196,0.214,0.171,0.248,-17.569,0.0375,0.0768,138.947
